,district,Bill Quantity_July_mt
0,Adilabad_Telangana,0.28958
1,Agra_UttarPradesh,0.30875
2,Ahmadnagar_Maharashtra,1.0928699999999998
3,Aizawl_Mizoram,3.34265
4,Akola_Maharashtra,2.7023200000000003
5,Alappuzha_Kerala,2.2208
6,Alipurduar_WestBengal,4.644399999999999
7,Allahabad_UttarPradesh,4.96525
8,Ambedkar Nagar_UttarPradesh,0.176
9,Amethi_UttarPradesh,0.53885
10,Amravati_Maharashtra,3.01904
11,Anantapur_AndhraPradesh,10.80856
12,Anugul_Odisha,10.9323
13,Araria_Bihar,0.7057
14,Ariyalur_TamilNadu,4.7186
15,Arwal_Bihar,3.2232999999999996
16,Aurangabad_Bihar,11.0154
17,Aurangabad_Maharashtra,4.78576
18,Azamgarh_UttarPradesh,1.05385
19,Bagalkot_Karnataka,7.07542
20,Bahraich_UttarPradesh,1.2417
21,Baksa_Assam,1.4079000000000002
22,Balangir_Odisha,3.89182
23,Baleshwar_Odisha,19.072119999999998
24,Ballia_UttarPradesh,0.81455
25,Balrampur_Chhattisgarh,0.15
26,Balrampur_UttarPradesh,0.049
27,Banda_UttarPradesh,0.01
28,Bangalore Rural_Karnataka,17.51584
29,Bangalore_Karnataka,51.27088
30,Banka_Bihar,4.46915
31,Bankura_WestBengal,7.6286499999999995
32,Bara Banki_UttarPradesh,0.125
33,Barddhaman_WestBengal,11.35215
34,Bareilly_UttarPradesh,0.026
35,Bargarh_Odisha,3.75245
36,Barpeta_Assam,4.32195
37,Basti_UttarPradesh,0.0675
38,Baudh_Odisha,1.8757000000000001
39,Begusarai_Bihar,7.4497
40,Belgaum_Karnataka,26.424799999999998
41,Bellary_Karnataka,1.6466599999999998
42,Bhadrak_Odisha,10.897
43,Bhagalpur_Bihar,3.88841
44,Bhandara_Maharashtra,2.35125
45,Bhojpur_Bihar,13.440299999999999
46,Bid_Maharashtra,2.22905
47,Bijapur_Karnataka,4.617649999999999
48,Birbhum_WestBengal,7.6855
49,Bishnupur_Manipur,0.026
50,Biswanath_Assam,0.9945
51,Bokaro_Jharkhand,5.5625
52,Bongaigaon_Assam,2.25014
53,Buldana_Maharashtra,3.80014
54,Buxar_Bihar,2.8823499999999997
55,Cachar_Assam,7.06765
56,Chamarajanagar_Karnataka,1.98601
57,Chamoli_Uttarakhand,2.6869
58,Champawat_Uttarakhand,0.036
59,Champhai_Mizoram,0.238
60,Chandauli_UttarPradesh,0.14
61,Chandrapur_Maharashtra,4.64203
62,Changlang_ArunachalPradesh,0.4
63,Charaideo_Assam,1.6434000000000002
64,Chatra_Jharkhand,5.64419
65,Chengalputtu_TamilNadu,7.985930000000001
66,Chennai_TamilNadu,7.48409
67,Chikkaballapura_Karnataka,1.1279000000000001
68,Chikmagalur_Karnataka,1.30686
69,Chirang_Assam,1.13575
70,Chitradurga_Karnataka,2.0344
71,Chitrakoot_UttarPradesh,0.2995
72,Chittoor_AndhraPradesh,16.5015
73,Coimbatore_TamilNadu,23.891510000000004
74,Cuddalore_TamilNadu,10.28899
75,Cuttack_Odisha,7.60914
76,Dakshin Dinajpur_WestBengal,1.447
77,Dakshina Kannada_Karnataka,4.62909
78,Darbhanga_Bihar,1.95405
79,Darjiling_WestBengal,3.4922
80,Darrang_Assam,1.9585
81,Davanagere_Karnataka,2.2274900000000004
82,Debagarh_Odisha,2.00569
83,Deoghar_Jharkhand,8.44735
84,Deoria_UttarPradesh,0.5144500000000001
85,Dhalai_Tripura,1.1745
86,Dhanbad_Jharkhand,5.55465
87,Dharmapuri_TamilNadu,0.89115
88,Dharwad_Karnataka,4.09438
89,Dhemaji_Assam,6.3793999999999995
90,Dhenkanal_Odisha,5.517060000000001
91,Dhubri_Assam,2.8145
92,Dhule_Maharashtra,0.4145
93,Dibrugarh_Assam,5.39595
94,Dima Hasao_Assam,6.1073
95,Dimapur_Nagaland,2.26506
96,Dindigul_TamilNadu,3.2105
97,Dumka_Jharkhand,2.5755
98,East District_Sikkim,6.616899999999999
99,East Garo Hills_Meghalaya,0.225
100,East Godavari_AndhraPradesh,3.43975
101,East Jaintia Hills_Meghalaya,0.226
102,East Khasi Hills_Meghalaya,7.682
103,East Siang_ArunachalPradesh,1.283
104,Ernakulam_Kerala,9.128950000000001
105,Erode_TamilNadu,9.2962
106,Faizabad_UttarPradesh,0.051
107,Farrukhabad_UttarPradesh,0.181
108,Fatehpur_UttarPradesh,0.205
109,Gadag_Karnataka,2.4694000000000003
110,Gadchiroli_Maharashtra,2.3199899999999998
111,Gajapati_Odisha,0.275
112,Ganjam_Odisha,15.818850000000001
113,Garhwa_Jharkhand,8.834100000000001
114,Gaya_Bihar,16.411060000000003
115,Ghazipur_UttarPradesh,0.25293
116,Giridih_Jharkhand,8.3506
117,Goalpara_Assam,7.068
118,Godda_Jharkhand,1.639
119,Golaghat_Assam,2.3293600000000003
120,Gomati_Tripura,0.7615
121,Gonda_UttarPradesh,0.045
122,Gondiya_Maharashtra,3.69914
123,Gopalganj_Bihar,7.375
124,Gorakhpur_UttarPradesh,4.1355
125,Gulbarga_Karnataka,0.2253
126,Gumla_Jharkhand,5.2153
127,Guntur_AndhraPradesh,3.85156
128,Gwalior_MadhyaPradesh,0.025
129,Hailakandi_Assam,3.286
130,Hamirpur_UttarPradesh,1.02375
131,Haora_WestBengal,7.06618
132,Hardoi_UttarPradesh,0.8342999999999999
133,Hassan_Karnataka,3.78645
134,Haveri_Karnataka,7.157979999999999
135,Hazaribagh_Jharkhand,6.65715
136,Hingoli_Maharashtra,0.6046900000000001
137,Hnahthial_Mizoram,0.1
138,Hojai_Assam,6.3225
139,Hugli_WestBengal,14.09627
140,Hydrabad_Telangana,2.91765
141,Idukki_Kerala,1.82075
142,Imphal East_Manipur,0.731
143,Imphal West_Manipur,2.815
144,Jagatsinghapur_Odisha,7.49829
145,Jajapur_Odisha,14.182799999999999
146,Jalaun_UttarPradesh,0.653
147,Jalgaon_Maharashtra,1.8751600000000002
148,Jalna_Maharashtra,1.51128
149,Jalpaiguri_WestBengal,10.9037
150,Jamnagar_Gujarat,0.156
151,Jamtara_Jharkhand,1.0404
152,Jamui_Bihar,4.9672
