,district,Predictions_mt,Target_mt,Difference_mt,Confidence,shortfallinpercent
0,Adilabad_Telangana,0.2611099853515625,0.503,-0.2418900146484375,95,-48.08946613289016
1,Aizawl_Mizoram,2.345148961067196,2.399,-0.05385103893280393,95,-2.2447285924470166
2,Akola_Maharashtra,0.8712858440876003,1.025,-0.15371415591239962,95,-14.996503015843867
3,Alappuzha_Kerala,2.273754414319992,3.595,-1.3212455856800078,95,-36.75231114548006
4,Alipurduar_WestBengal,4.7441385459899905,3.27,1.4741385459899903,70,45.080689479816215
5,Amravati_Maharashtra,2.0913197002410873,2.19,-0.09868029975891295,95,-4.505949760680957
6,Anantapur_AndhraPradesh,7.533511525154111,9.884,-2.3504884748458887,95,-23.78074134809681
7,Anugul_Odisha,5.68639443016052,6.55,-0.8636055698394802,95,-13.184817860144737
8,Araria_Bihar,0.6927643537521354,1.75,-1.0572356462478647,95,-60.41346549987799
9,Ariyalur_TamilNadu,3.133256500244139,3.271,-0.1377434997558612,95,-4.211051658693402
10,Arwal_Bihar,2.8007345533370964,3.246,-0.44526544666290374,95,-13.717358184316197
11,Aurangabad_Bihar,8.798962371826164,8.607,0.1919623718261646,70,2.230305237901297
12,Aurangabad_Maharashtra,0.5626891746520996,1.749,-1.1863108253479004,95,-67.82794884779305
13,Bagalkot_Karnataka,6.279843281745906,8.257,-1.977156718254094,95,-23.945218823472132
14,Baksa_Assam,1.4446439695358255,1.214,0.23064396953582558,70,18.9986795334288
15,Balangir_Odisha,0.8314444522857661,2.02,-1.1885555477142338,95,-58.839383550209604
16,Baleshwar_Odisha,15.928543848991392,13.804,2.1245438489913924,70,15.390784185680905
17,Bangalore Rural_Karnataka,2.7851862344741782,2.146,0.639186234474178,70,29.785006266271115
18,Bangalore_Karnataka,16.92878943204878,13.795,3.1337894320487796,70,22.71684981550402
19,Banka_Bihar,4.196433300971983,4.55,-0.35356669902801696,95,-7.770696681934439
20,Bankura_WestBengal,5.698884124279019,6.477,-0.7781158757209814,95,-12.013522861216327
21,Barddhaman_WestBengal,9.173085474014272,13.912,-4.738914525985729,95,-34.0635029182413
22,Bargarh_Odisha,3.256417531490325,3.235,0.021417531490325017,70,0.6620566148477595
23,Barpeta_Assam,4.719425794601435,3.91,0.8094257946014349,70,20.701426971903707
24,Baudh_Odisha,1.3623159141540522,1.095,0.26731591415405226,70,24.412412251511622
25,Begusarai_Bihar,6.0440008177757205,7.112,-1.0679991822242791,95,-15.01686139235488
26,Belgaum_Karnataka,17.64221317863464,25.646,-8.00378682136536,95,-31.20871411278702
27,Bellary_Karnataka,1.3073068637847884,1.682,-0.37469313621521155,95,-22.276643056790224
28,Bhadrak_Odisha,9.54192886257171,9.466,0.07592886257171085,70,0.8021219371615343
29,Bhagalpur_Bihar,2.1818428831100443,1.995,0.1868428831100441,70,9.365558050628778
30,Bhandara_Maharashtra,1.338375429153442,1.602,-0.26362457084655805,95,-16.45596572075893
31,Bhojpur_Bihar,11.46577371931075,13.089,-1.6232262806892503,95,-12.401453745047371
32,Bid_Maharashtra,0.5087242851257316,0.526,-0.017275714874268374,95,-3.284356439974976
33,Bijapur_Karnataka,2.393092084884643,2.449,-0.0559079151153569,95,-2.2828875098144916
34,Birbhum_WestBengal,7.289619971871369,11.352,-4.06238002812863,95,-35.78558869035086
35,Bishnupur_Manipur,0.045732620239257796,0.04,0.005732620239257798,70,14.331550598144496
36,Biswanath_Assam,0.8965352048873885,1.745,-0.8484647951126115,95,-48.62262436175425
37,Bokaro_Jharkhand,3.653056386947628,4.14,-0.4869436130523718,95,-11.761923020588691
38,Bongaigaon_Assam,1.5151822738647434,2.008,-0.49281772613525665,95,-24.5427154449829
39,Buldana_Maharashtra,1.540092267036437,2.33,-0.7899077329635629,95,-33.90161944049626
40,Buxar_Bihar,2.2995286273956284,2.52,-0.22047137260437147,95,-8.748863992236963
41,Cachar_Assam,6.83548941135405,6.516,0.3194894113540504,70,4.903152414887207
42,Chamarajanagar_Karnataka,0.6446638150215147,0.814,-0.16933618497848532,95,-20.80297112757805
43,Champhai_Mizoram,0.202636749267577,0.165,0.037636749267576985,70,22.81015107125878
44,Chandrapur_Maharashtra,2.246526450157164,2.278,-0.03147354984283629,95,-1.3816308096065097
45,Changlang_ArunachalPradesh,0.4643088073730461,0.389,0.07530880737304609,70,19.35959058433061
46,Charaideo_Assam,1.5421999416351297,1.841,-0.2988000583648702,95,-16.23031278462087
47,Chatra_Jharkhand,3.613673423767087,3.78,-0.1663265762329129,95,-4.400173974415685
48,Chengalputtu_TamilNadu,4.738752520442008,5.45,-0.7112474795579928,95,-13.050412468953997
49,Chennai_TamilNadu,5.881851206779477,6.585,-0.7031487932205227,95,-10.678037862118797
50,Chikkaballapura_Karnataka,1.1549272432327262,1.523,-0.36807275676727386,95,-24.167613707634526
51,Chikmagalur_Karnataka,0.9999301714897155,1.893,-0.8930698285102844,95,-47.177486978884545
52,Chirang_Assam,1.0724446258544902,1.521,-0.44855537414550983,95,-29.490820127909917
53,Chitradurga_Karnataka,2.0785147962570183,3.069,-0.9904852037429819,95,-32.27387434809325
54,Chittoor_AndhraPradesh,9.218341303825374,11.858,-2.6396586961746253,95,-22.26057257694911
55,Coimbatore_TamilNadu,9.979288941621776,11.82,-1.8407110583782234,95,-15.572851593724394
56,Cuddalore_TamilNadu,5.356169356107709,5.814,-0.45783064389229094,95,-7.874624077954781
57,Cuttack_Odisha,5.4674044470786995,6.733,-1.2655955529213005,95,-18.79690409804397
58,Dakshin Dinajpur_WestBengal,1.0185687389373772,2.024,-1.0054312610626228,95,-49.67545756238255
59,Dakshina Kannada_Karnataka,0.9297404189109791,2.018,-1.088259581089021,95,-53.92763038102185
60,Darbhanga_Bihar,1.266490139603613,1.33,-0.06350986039638701,95,-4.775177473412557
61,Darjiling_WestBengal,0.9010735888481135,1.416,-0.5149264111518864,95,-36.36485954462475
62,Darrang_Assam,2.002034130096431,2.409,-0.40696586990356876,95,-16.893560394502646
63,Davanagere_Karnataka,1.0410414900779714,1.659,-0.6179585099220285,95,-37.24885532983897
64,Debagarh_Odisha,1.4539196355342854,1.71,-0.25608036446571464,95,-14.97545991027571
65,Deoghar_Jharkhand,5.8461528415679895,7.415,-1.5688471584320105,95,-21.157749945138374
66,Dhalai_Tripura,0.7684412765502909,1.03,-0.2615587234497091,95,-25.394050820360103
67,Dhanbad_Jharkhand,2.5689535198211657,2.705,-0.13604648017883436,95,-5.029444738589071
68,Dharmapuri_TamilNadu,0.7389248991012567,0.358,0.38092489910125665,70,106.40360310090968
69,Dharwad_Karnataka,2.1196388144493095,3.721,-1.6013611855506906,95,-43.03577494089467
70,Dhemaji_Assam,2.030476053237911,2.988,-0.9575239467620891,95,-32.04564748199763
71,Dhenkanal_Odisha,2.93852127933502,2.715,0.22352127933502014,70,8.232827968140706
72,Dhubri_Assam,2.6217427883148177,2.764,-0.1422572116851825,95,-5.146787687597051
73,Dhule_Maharashtra,0.4306300201416016,0.7,-0.2693699798583984,95,-38.48142569405691
74,Dibrugarh_Assam,5.573940318584435,8.257,-2.683059681415565,95,-32.494364556322694
75,Dima Hasao_Assam,0.925875120162962,0.675,0.25087512016296204,70,37.16668446858697
76,Dimapur_Nagaland,1.7095096893310504,3.05,-1.3404903106689496,95,-43.95050198914589
77,Dindigul_TamilNadu,3.1965644402503948,4.03,-0.833435559749605,95,-20.680783120337594
78,Dumka_Jharkhand,1.993851634979246,2.325,-0.331148365020754,95,-14.242940431000173
79,East District_Sikkim,0.38865092468261686,1.353,-0.9643490753173831,95,-71.27487622449247
80,East Garo Hills_Meghalaya,0.2442079849243162,0.442,-0.19779201507568378,95,-44.74932467775651
81,East Godavari_AndhraPradesh,4.520578806877136,6.714,-2.1934211931228638,95,-32.66936540248531
82,East Jaintia Hills_Meghalaya,0.0783987503051757,0.199,-0.1206012496948243,95,-60.60364306272577
83,East Khasi Hills_Meghalaya,6.810112071990956,7.762,-0.9518879280090441,95,-12.263436330959083
84,East Siang_ArunachalPradesh,1.1465656509399398,1.873,-0.7264343490600602,95,-38.784535454354526
85,Ernakulam_Kerala,6.978838818669311,7.635,-0.656161181330689,95,-8.594121562942881
86,Erode_TamilNadu,5.745850647926321,2.82,2.9258506479263215,70,103.75356907540147
87,Gadag_Karnataka,2.54395097541809,3.291,-0.7470490245819101,95,-22.69975765973595
88,Gadchiroli_Maharashtra,1.2359465894699093,1.576,-0.3400534105300908,95,-21.576993053939773
89,Gajapati_Odisha,0.042874290466308584,0.032,0.010874290466308587,70,33.982157707214334
90,Ganjam_Odisha,10.933127761840813,10.58,0.353127761840813,70,3.3376915107827316
91,Garhwa_Jharkhand,7.440010572433464,7.545,-0.10498942756653559,95,-1.3915099743742292
92,Gaya_Bihar,11.418344623565657,13.565,-2.1466553764343423,95,-15.824956700584906
93,Giridih_Jharkhand,6.759862529277795,7.952,-1.1921374707222048,95,-14.991668394393926
94,Goalpara_Assam,6.724024187088008,6.619,0.10502418708800815,70,1.586707766853122
95,Godda_Jharkhand,0.6716870460510234,1.08,-0.40831295394897665,95,-37.80675499527562
96,Golaghat_Assam,1.9374407553672757,2.31,-0.3725592446327244,95,-16.128105828256466
97,Gomati_Tripura,0.7186119108200059,1.037,-0.31838808917999417,95,-30.702805128254017
98,Gondiya_Maharashtra,3.46197186756134,4.38,-0.9180281324386601,95,-20.959546402709137
99,Gopalganj_Bihar,6.162289235115048,6.585,-0.42271076488495235,95,-6.419297872208844
100,Gulbarga_Karnataka,0.036457691192626956,0.062,-0.025542308807373047,95,-41.19727226995653
101,Gumla_Jharkhand,3.1885532178878724,4.175,-0.9864467821121274,95,-23.62746783502102
102,Guntur_AndhraPradesh,1.4480452804565425,1.7,-0.2519547195434575,95,-14.8208658554975
103,Hailakandi_Assam,3.1564519333839334,3.307,-0.15054806661606654,95,-4.552406005928834
104,Haora_WestBengal,4.656871062755579,8.71,-4.053128937244421,95,-46.534201346089795
105,Hassan_Karnataka,2.0434080810546855,2.979,-0.9355919189453146,95,-31.40624098507266
106,Haveri_Karnataka,4.518694272994994,7.492,-2.9733057270050067,95,-39.68640852916453
107,Hazaribagh_Jharkhand,4.468530775070184,4.965,-0.49646922492981593,95,-9.999380159714319
108,Hingoli_Maharashtra,0.105610565185546,0.1,0.005610565185545994,70,5.610565185545994
109,Hnahthial_Mizoram,0.0849001083374023,0.14,-0.0550998916625977,95,-39.35706547328407
110,Hojai_Assam,5.773667770385737,6.615,-0.8413322296142632,95,-12.718552223949558
111,Hugli_WestBengal,13.55433359766004,17.6,-4.045666402339959,95,-22.986740922386133
112,Hydrabad_Telangana,3.336342565059662,4.868,-1.5316574349403382,95,-31.463792829505717
113,Idukki_Kerala,1.8235526494979857,2.985,-1.1614473505020144,95,-38.90945897829194
114,Imphal East_Manipur,0.5790683689117421,1.635,-1.055931631088258,95,-64.58297437848672
115,Imphal West_Manipur,1.3927266979217516,5.005,-3.6122733020782483,95,-72.17329274881615
116,Jagatsinghapur_Odisha,4.742525171279903,4.434,0.3085251712799027,70,6.958168048712284
117,Jajapur_Odisha,10.450750579833981,12.783,-2.3322494201660193,95,-18.244930142893057
118,Jalgaon_Maharashtra,0.5463586473464961,1.58,-1.0336413526535038,95,-65.42033877553823
119,Jalna_Maharashtra,1.110539052963256,1.203,-0.09246094703674407,95,-7.68586425908097
120,Jalpaiguri_WestBengal,1.413640015125274,1.922,-0.508359984874726,95,-26.44953095081821
121,Jamnagar_Gujarat,0.0154091434478759,0.03,-0.0145908565521241,95,-48.63618850708033
122,Jamtara_Jharkhand,0.5433102664947501,0.6,-0.05668973350524993,95,-9.448288917541655
123,Jamui_Bihar,4.624243594169611,5.526,-0.9017564058303887,95,-16.318429349084127
124,Jehanabad_Bihar,3.8804252228736806,4.449,-0.5685747771263195,95,-12.779833156356924
125,Jhargram_WestBengal,0.18893071126937858,0.37,-0.18106928873062142,95,-48.93764560287065
126,Jharsuguda_Odisha,5.015452007770535,5.06,-0.04454799222946531,95,-0.8803951033491167
127,Jorhat_Assam,5.921058061599724,7.091,-1.1699419384002758,95,-16.498969657315975
128,Kadapa(YSR)_AndhraPradesh,7.370743239402766,9.094,-1.7232567605972335,95,-18.949381576833446
129,Kaimur (Bhabua)_Bihar,3.6841435708999626,3.26,0.42414357089996246,70,13.010538984661427
130,Kakching_Manipur,0.2171466674804686,0.585,-0.36785333251953134,95,-62.88091154180023
131,Kalahandi_Odisha,0.7270742950439439,1.025,-0.297925704956056,95,-29.065922434737175
132,Kallakurichi_TamilNadu,3.124026111602779,2.871,0.2530261116027791,70,8.813170031444761
133,Kamareddy_Telangana,0.03305574798583984,0.062,-0.028944252014160163,95,-46.68427744219381
134,Kamle_ArunachalPradesh,0.049515640258789,0.06,-0.010484359741211001,95,-17.473932902018337
135,Kamrup Metropolitan_Meghalaya,8.748225060462943,10.9,-2.1517749395370576,95,-19.741054491165663
136,Kamrup_Assam,6.6669057836532435,7.904,-1.2370942163467562,95,-15.651495652160378
137,Kancheepuram_TamilNadu,25.887314291238777,31.435,-5.547685708761223,95,-17.64811741295124
138,Kandhamal_Odisha,1.439723949432372,1.59,-0.15027605056762808,95,-9.451323935070949
139,Kangpokpi_Manipur,0.369869720458984,0.35,0.019869720458983976,70,5.677062988281136
140,Kanniyakumari_TamilNadu,9.565113525629041,13.404,-3.838886474370958,95,-28.639857314017892
141,Kannur_Kerala,3.7374317021369934,4.9,-1.1625682978630065,95,-23.72588362985728
142,Karaikal_Puducherry,1.3164199303388586,1.608,-0.29158006966114136,95,-18.13308890927496
143,Karbi Anglong East_Assam,2.3838944969177223,3.61,-1.2261055030822776,95,-33.96414135961988
144,Karbi Anglong West_Assam,0.1980510997772216,0.27,-0.0719489002227784,95,-26.647740823251258
145,Karimganj_Assam,4.465558586597433,4.752,-0.28644141340256646,95,-6.027807521097779
146,Karimnagar_Telangana,0.04342752456665039,0.062,-0.018572475433349608,95,-29.955605537660663
147,Karur_TamilNadu,3.7699455764293655,4.903,-1.1330544235706348,95,-23.10941104569926
148,Kasaragod_Kerala,0.9589568586349487,1.68,-0.7210431413650513,95,-42.91923460506257
149,Katihar_Bihar,2.262738980293272,2.74,-0.4772610197067279,95,-17.41828539075649
150,Kendrapara_Odisha,3.6364658060073833,3.273,0.36346580600738343,70,11.104974213485592
151,Kendujhar_Odisha,9.9612973909378,8.95,1.0112973909377998,70,11.299412189249159
152,Khagaria_Bihar,2.9615240612030025,3.15,-0.18847593879699753,95,-5.98336313641262
153,Khordha_Odisha,13.163979036331165,14.798,-1.634020963668834,95,-11.04217437267762
154,Khowai_Tripura,1.1534968566894503,1.319,-0.1655031433105496,95,-12.547622692232721
155,Khunti_Jharkhand,0.5174252777099609,0.375,0.14242527770996094,70,37.98007405598958
156,Kishanganj_Bihar,0.3737717075347899,0.585,-0.21122829246521013,95,-36.10740042140344
157,Koch Bihar_WestBengal,2.1097845282554597,2.433,-0.3232154717445401,95,-13.284647420655164
158,Kodagu_Karnataka,0.6780237369537352,1.279,-0.6009762630462647,95,-46.98797990979396
159,Kodarma_Jharkhand,2.8357806491851782,3.37,-0.5342193508148216,95,-15.852206255632689
160,Kohima_Nagaland,0.5615845909118649,1.085,-0.5234154090881351,95,-48.24105152886038
161,Kokrajhar_Assam,0.7735502758026105,0.916,-0.14244972419738952,95,-15.551279934212827
162,Kolar_Karnataka,1.900966970443725,2.305,-0.40403302955627485,95,-17.528547920011924
163,Kolasib_Mizoram,0.384154266357421,0.336,0.048154266357421024,70,14.331626892089592
164,Kolhapur_Maharashtra,2.6497487993240356,6.093,-3.4432512006759644,95,-56.5115903606756
165,Kolkata_WestBengal,0.3089217948913573,1.555,-1.2460782051086425,95,-80.13364663078087
166,Kollam_Kerala,4.225557652711867,7.09,-2.8644423472881324,95,-40.401161456814286
167,Koppal_Karnataka,1.7122299804687473,1.934,-0.22177001953125272,95,-11.46690897266043
168,Koraput_Odisha,0.9058926048278801,0.99,-0.08410739517211982,95,-8.495696482032306
169,Kottayam_Kerala,6.738621533393858,10.055,-3.316378466606142,95,-32.98238156744049
170,Kozhikode_Kerala,5.810783112525939,8.595,-2.784216887474061,95,-32.393448370844226
171,Krishna_AndhraPradesh,0.5954141960144043,1.164,-0.5685858039855957,95,-48.84757766199276
172,Krishnagiri_TamilNadu,0.9396164512634264,0.399,0.5406164512634264,70,135.49284492817705
173,Kurnool_AndhraPradesh,6.168241033315656,7.856,-1.6877589666843442,95,-21.48369356777424
174,Kushinagar_UttarPradesh,0.2832916870117188,0.02,0.2632916870117188,70,1316.458435058594
175,Lakhimpur_Assam,3.914204000949856,5.037,-1.122795999050144,95,-22.290966826486876
176,Lakhisarai_Bihar,2.7883171596527068,3.315,-0.5266828403472932,95,-15.887868487097833
177,Latehar_Jharkhand,2.773129026412962,2.565,0.20812902641296205,70,8.114192062883511
178,Latur_Maharashtra,0.16220147705078122,0.202,-0.039798522949218776,95,-19.702239083771673
179,Lawngtlai_Mizoram,0.0863201580047606,0.205,-0.1186798419952394,95,-57.892605851336285
180,Leparada_ArunachalPradesh,0.033208324432372996,0.032,0.0012083244323729972,70,3.776013851165616
181,Lohardaga_Jharkhand,1.6423549882173525,1.935,-0.29264501178264757,95,-15.123773218741476
182,Longding_ArunachalPradesh,0.0190800380706787,0.05,-0.0309199619293213,95,-61.8399238586426
183,Lower Dibang Valley_ArunachalPradesh,0.284555419921875,0.416,-0.131444580078125,95,-31.597254826472355
184,Lower Subansiri_ArunachalPradesh,0.25569950866699126,0.187,0.06869950866699127,70,36.73770516951405
185,Lunglei_Mizoram,0.8457272033691396,1.082,-0.2362727966308604,95,-21.836672516715378
186,Madhepura_Bihar,3.4189096841812083,4.575,-1.1560903158187916,95,-25.26973367909927
187,Madhubani_Bihar,0.3842576713562009,0.419,-0.03474232864379906,95,-8.291725213317196
188,Madurai_TamilNadu,13.44903667116165,16.769,-3.3199633288383503,95,-19.798218908929275
189,Mahabubnagar_Telangana,0.3734063472747802,0.594,-0.22059365272521977,95,-37.136978573269324
190,Malappuram_Kerala,14.657769332766524,15.79,-1.132230667233476,95,-7.170555207305106
191,Maldah_WestBengal,4.457314412593837,7.267,-2.809685587406163,95,-38.66362443107421
192,Malkangiri_Odisha,0.025331716537475502,0.18,-0.1546682834625245,95,-85.92682414584695
193,Mamit_Mizoram,0.115247283935546,0.167,-0.05175271606445401,95,-30.98965033799641
194,Mandya_Karnataka,0.8795087499618525,0.986,-0.10649125003814754,95,-10.80032961847338
195,Mayiladuthurai_TamilNadu,5.708546190500257,6.735,-1.0264538094997433,95,-15.240591083886315
196,Mayurbhanj_Odisha,12.619517687797545,10.482,2.1375176877975446,70,20.39226948862378
197,Medchal_Telangana,1.9185077276229858,3.112,-1.193492272377014,95,-38.351294099518455
198,Morigaon_Assam,3.6539205894470177,5.091,-1.437079410552982,95,-28.227841495835438
199,Mumbai Suburban_Maharashtra,0.13522978210449219,0.15,-0.014770217895507812,95,-9.846811930338543
200,Mumbai_Maharashtra,0.2419117736816406,0.8,-0.5580882263183594,95,-69.76102828979492
201,Munger_Bihar,2.1111895632743822,1.965,0.14618956327438218,70,7.439672431266269
202,Murshidabad_WestBengal,6.5299605331420825,6.97,-0.44003946685791745,95,-6.313335249037552
203,Muzaffarpur_Bihar,2.301363657474515,2.587,-0.2856363425254849,95,-11.041219270409156
204,Mysore_Karnataka,1.0308832671642292,1.135,-0.10411673283577079,95,-9.173280426059101
205,Nabarangapur_Odisha,1.0555626358985881,1.845,-0.789437364101412,95,-42.78793301362667
